"Produkttitel","Antal bestilt","Antal returneret","Frekvensen for returneret antal"
"Kérastase Genesis Serum Anti-Chute Fortifiant 90 ml - Hårserum",1014,-10,0.009861932938856016
"Kérastase Nutritive 8h Night Repair Serum",738,-8,0.01084010840108401
"Kérastase Elixir Ultime L'Huile Originale 75 ml - Hårolie",419,-4,0.00954653937947494
"Kérastase Genesis Fondant Renforcateur 200 ml - Balsam",204,-2,0.00980392156862745
"Kérastase Genesis Bain Hydra-Fortifiant Shampoo 250 ml - Shampoo",181,-2,0.011049723756906077
"Redken Acidic Bonding Concentrate Leave-in Treatment 150 ml - Hårkur",122,-1,0.00819672131147541
"Kérastase Elixir Ultime L´Huile Originale Hair Oil 30 ml - Hårolie",120,-1,0.008333333333333333
"Kérastase Genesis Masque Reconstituant 200 ml - Hårkur",90,-3,0.03333333333333333
"KMS Moist Repair Revival Creme 125 ml - Leave-in hårkur",82,0,0
"Kérastase Specifiqué  Bain Riche Dermo-Calm 250 ml - Shampoo",65,0,0
"Kérastase Curl Manifesto Bain Hydratation Douceur Shampoo 250 ml - Shampoo",60,0,0
"Kérastase Genesis Bain Nutri-Fortifiant Shampoo 250 ml - Shampoo",60,-1,0.016666666666666666
"Kérastase Nutritive Masquintense Riche 200 ml",59,-1,0.01694915254237288
"Kérastase Elixir Ultime L'Huile Originale Hair Oil 75ml - Refill",56,-1,0.017857142857142856
"Kérastase Nutritive Nectar Thermique 150 ml - Varmebeskyttelse",54,0,0
"Kérastase Densifique Bain Densité 250 ml - Shampoo",52,0,0
"Kérastase Genesis Defense Thermique 150 ml - Varmebeskyttelse",52,0,0
"Kérastase Elixir Ultime le Bain 250 ml - Shampoo",48,0,0
"Kérastase Nutri-Supplement Split Ends Serum 50 ml",47,0,0
"Kérastase Nutritive Lait Vital 200 ml - Conditioner",47,0,0
"Kérastase Première Bain Décalcifiant Réparateur 250ml - NYHED",42,0,0
"Kérastase Nutri-Supplement Scalp Serum 90 ml - Hårserum",42,0,0
"Kérastase Densifique Mousse Densimorphose 150 ml - Hårskum",40,0,0
"Kérastase Nutritive Bain Satin 250 ml - Shampoo",40,0,0
"Kérastase Résistance Bain Extentioniste 250 ml - Hårshampoo",39,-1,0.02564102564102564
"Kérastase Densifique Fondant Densité 200 ml - Conditioner",37,0,0
"Kérastase Curl Manifesto Crème De Jour Fondamentale Leave-In 150 ml - Krøllecreme",36,-1,0.027777777777777776
"Kérastase Soin Acide Chroma Gloss 210 ml",32,0,0
"Kérastase Discipline Bain Fluidealiste 250 ml - Shampoo",32,0,0
"Kérastase Première Masque Filler Réparateur 200 ml - hårmaske - NYHED",32,0,0
"Kérastase Genesis Homme Serum Fortifiant Anti-chute 90 ml - Hårserum",31,-2,0.06451612903225806
"Kérastase Blond Absolu Bain Ultra-Violet 250 ml - Shampoo",31,0,0
"Kérastase Symbiose Bain Crème Anti-Pelliculaire 250 ml",30,0,0
"Maria Nila Cleansing Powder 60 gr. - Hårpudder",29,0,0
"ghd Original Styler - Glattejern",26,-2,0.07692307692307693
"Kérastase Nutritive Masquintense 200 ml - Hårkur",26,0,0
"Maria Nila Shaping Heat Spray 250 ml - Varmebeskyttelse",25,-8,0.32
"KMS HairPlay Molding Paste 100 ml - Hårvoks",25,0,0
"Kérastase Nutritive Bain Satin Riche 250 ml - Shampoo",25,0,0
"Shu Uemura Ultimate Reset Shampoo 300 ml - Shampoo",25,0,0
"Kérastase Curl Manifesto Masque Beurre Haute Nutrition Hair Mask 200 ml - Hårkur",25,-1,0.04
"Kérastase Résistance Fondant Extentioniste 200 ml - Hårbalsam",24,-3,0.125
"Kérastase Discipline Fondant Fluidealiste 200 ml - Conditioner",23,0,0
"Kérastase Genesis Homme Bain de Masse Épaississant 250 ml - Shampoo",23,0,0
"Kérastase Résistance Sérum Thérapiste 30 ml - Hårserum",22,0,0
"Kérastase Curl Manifesto Fondant Hydratation Essentielle Conditioner 250 ml - Balsam",22,0,0
"Kérastase Blond Absolu Cicaflash 250 ml - Balsam",22,0,0
"Maria Nila Power Powder 2 gr. - Hårpudder",22,0,0
"Maria Nila True Soft Argan Oil 100 ml - Hårolie",22,0,0
"KMS Curlup Control Creme 150 ml - Krøllecreme",21,0,0
"Shu Uemura Ultimate Reset Conditioner 250 ml - Balsam",20,0,0
"Kérastase Elixir Ultime Le Fondant 200 ml - Conditioner",20,0,0
"Shu Uemura Restage Muroto Shampoo 300 ml - Shampoo",19,0,0
"Kérastase Résistance Extentioniste Thermique 150 ml - Varmebeskyttelse",19,0,0
"Kérastase Première Fondant Fluidité Réparateur 250 ml - balsam",18,0,0
"KMS Add Volume Styling Foam 300 ml - Hårskum",17,0,0
"KMS Moist Repair Shampoo 300 ml - Shampoo",16,0,0
"Maria Nila Colour Refresh Cacao Intense 300 ml - Farvende hårkur",16,-1,0.0625
"Shu Uemura Essence Absolue Rich Nourishing Hair Oil-in-Cream 150 ml",16,-1,0.0625
"Kérastase Specifiqué Bain Divalent shampoo",16,0,0
"Kérastase Blond Absolu Bain Lumiére 500 ml - Shampoo",15,0,0
"ghd Max Professional Wide Plate Styler - Glattejern",15,-2,0.13333333333333333
"Kérastase Bain Chroma Respect 500 ml - Shampoo",15,0,0
"Redken All Soft Conditioner 300 ml - Balsam",15,0,0
"Kérastase Genesis Homme Bain de Force Quotiden 250 ml - Shampoo",15,0,0
"Redken Extreme Length Shampoo 300 ml - Hårshampoo",15,0,0
"Shu Uemura Ultimate Reset Mask 200 ml - Hårkur",14,-1,0.07142857142857142
"Shu Uemura Silk Bloom Conditioner 250 ml - Balsam",14,0,0
"Shu Uemura Silk Bloom Treatment 200 ml - Hårkur",13,0,0
"Maria Nila True Soft Argan Oil 30 ml - Hårolie",13,0,0
"Maria Nila True Soft Conditioner 300 ml - Balsam",13,0,0
"Redken Acidic Bonding Concentrate Conditioner 300 ml - Balsam",13,0,0
"Kérastase Densifique Bain Densite Homme 250 ml - Shampoo",13,0,0
"Kérastase Chronologiste Masque Régénérant 200 ml - Hårkur",13,0,0
"Kérastase Curl Manifesto Gelée Curl Contour Gel-Cream 150 ml - Krøllecreme",13,0,0
"Maria Nila True Soft Shampoo 350 ml - Shampoo",13,0,0
"Kérastase Chroma Absolu L´Huile Éclat 75 ml - Hårolie",13,0,0
"Kérastase Fondant Cica Chroma 200 ml",12,0,0
"Redken Styling Spray Wax 150 ml - Hårvoks",12,0,0
"Redken Volume Injection Shampoo 300 ml - Shampoo",12,0,0
"Shu Uemura Urban Moisture Shampoo 300 ml - Shampoo",12,0,0
"Redken All Soft Heavy Cream 250 ml - Hårkur",12,0,0
"Wet Brush Original Detangler - Hårbørste",12,0,0
"Shu Uemura Silk Bloom Shampoo 300 ml - Shampoo",12,0,0
"Kérastase Résistance Masque Extentioniste 200 ml - Hårkur",11,0,0
"Maria Nila True Soft Masque 250 ml - Hårkur",11,0,0
"Maria Nila Colour Refresh Cacao 300 ml - Farvende hårkur",11,0,0
"Kérastase Blond Absolu Cicaplasme Leave-In 150 ml - Hårserum",11,0,0
"BaByliss Rose Quartz Klemkrøllejern 25 mm - Krøllejern",11,-3,0.2727272727272727
"KMS Curlup Perfecting Lotion 100 ml - Krøllecreme",11,0,0
"Kérastase Serum Chroma Thermique Serum 150 ml - Varmebeskyttelse",11,0,0
"Kérastase Discipline Spray Fluidissime Leave-in Spray 150 ml - Varmebeskyttelse",11,0,0
"Shu Uemura Essence Absolue Nourishing Overnight Hair Serum 150 ml",11,-2,0.18181818181818182
"Redken Styling Deep Clean Dry Shampoo 150ml - Tørshampoo",10,-2,0.2
"Redken Styling Texture Paste 75 ml - Hårvoks",10,0,0
"Kérastase Densifique Masque Densité Hair Mask 200 ml - Hårkur",10,0,0
"KMS Curlup Wave Foam 200 ml - Hårskum",10,-5,0.5
"Redken Acidic Bonding Concentrate Shampoo 500 ml - Hårshampoo",10,0,0
"KMS HairPlay Messing Creme 150 ml - Hårvoks",10,-1,0.1
"Maria Nila Dry Shampoo 250 ml - Tørshampoo",10,0,0
"KMS Add Volume Leave-in Conditioner 150 ml - Balsam",10,0,0
"Kérastase Chronologiste Bain Régénérant  - Shampoo",10,0,0
"Kérastase Chronologiste Huile De Parfum 75 ml - Hårolie",10,0,0
"Kérastase Fresh Affair 233 ml - Tørshampoo",10,-6,0.6
"Kérastase Genesis Homme Cire d'épaisseur Texturisante 75 ml - Hårvoks",9,0,0
"Redken Curvaceous Full Swirl Cream Serum 150 ml - Krøllecreme",9,0,0
"Kérastase Résistance Ciment Anti-Usure 200 ml - Hårbalsam",9,0,0
"Kérastase Résistance Masque Therapiste 200 ml - Hårkur",9,-2,0.2222222222222222
"Redken Extreme Length Conditioner 300 ml - Balsam",9,0,0
"Redken Frizz Dismiss Conditioner 300 ml - Balsam",9,-1,0.1111111111111111
"Kérastase Résistance Ciment Thermique Thermo Protector 150 ml - Varmebeskyttelse",9,0,0
"Shu Uemura Nendo Definer Matte Clay 75 ml - Hårvoks",9,0,0
"Redken Styling Root Tease 250 ml - Hårlak",9,0,0
"L’Oréal Pro Serie Expert Metal DX Anti-deposit Protector Concentrated Oil 50 ml - Hårolie",9,0,0
"Redken Acidic Bonding Concentrate Shampoo 300 ml - Hårshampoo",8,0,0
"Kérastase Blond Absolu L´Huile Cicagloss 75 ml - Hårolie",8,0,0
"L'Oréal Pro Tecni.Art Super Dust Powder 7g - Hårpudder",8,0,0
"Redken Frizz Dismiss Shampoo 300 ml – Hårshampoo",8,0,0
"Kérastase Specifiqué Bain Divalent 500 ml - Shampoo",8,0,0
"Kérastase Discipline Kératine Thermique 150 ml - Varmebeskyttelse",8,0,0
"KMS HairPlay Styling Gel 200 ml - Hårgele",8,0,0
"Redken Styling One United Multi-Benefit Treatment 150 ml",8,-1,0.125
"Kérastase Genesis Homme Spray De Force Epaississant 150ml - Thickening Spray",8,0,0
"KMS HairPlay Sea Salt Spray 200 ml - Saltvandsspray",8,0,0
"Kerastàse Concentré Décalcifiant Ultra-Réparateur 250ml - Preshampoo - NYHED",8,0,0
"Kérastase Symbiose Fondant Apaisant Essentiel Conditioner 200 ml",8,0,0
"Kérastase Specifiqué  Bain Prevention 250 ml - Shampoo",8,0,0
"Shu Uemura Color Lustre Brilliant Glaze Shampoo 300 ml - Shampoo",8,0,0
"ghd Chronos - glattejern",8,0,0
"Maria Nila Scalp Brush",8,0,0
"Maria Nila Volume Spray 300 ml - Hårlak",7,0,0
"L’Oréal Pro Serie Expert Absolut Repair Molecular Rinse-Off Mask 250ml",7,0,0
"Maria Nila Quick Dry Heat Spray 150 ml - Varmebeskyttelse",7,0,0
"Kérastase Specifiqué Cure Antichute 42x 6ml - hårbehandling",7,0,0
"Kérastase Bain Riche Chroma Respect 250 ml",7,-2,0.2857142857142857
"Kérastase Blond Absolu Bain Lumiére 250 ml - Shampoo",7,0,0
"Maria Nila Pure Volume Shampoo 350 ml - Shampoo",7,0,0
"Kérastase Blonde Absolu Huile Cicaextreme 100 ml - UTGÅT",7,-2,0.2857142857142857
"Maria Nila Structure Repair Conditioner 300 ml - Balsam",7,-1,0.14285714285714285
"KMS ThermaShape Quick Blow Dry 200 ml - Føntørringsspray",7,0,0
"Shu Uemura Ultimate Reset Serum 30 ml - Hårserum",7,-1,0.14285714285714285
"Shu Uemura Deep Cleanser Delicate Comfort 400 ml - Shampoo",7,0,0
"Shu Uemura Essence Absolue Nourshing Protective Oil 150 ml",7,0,0
